Õ	+
Ö	-
À	*
Á	/
í	^
*	STAR
/	DIV
ã	=
È	!=
<	<
>	>
É	<=
Ê	>=
º	MINUS
#E5BE	MORE_OR_LESS
#E5BF	LESS_OR_MORE
#E6B0	IMAGE_OF
#E6B1	ALMOST_EQUAL
#E5A3	MUCH_LESSER
#E5A4	MUCH_GREATER
½	compI
#E5B0	EXP
¼	E
#E64F	PI
¾	INFINITY
#E542	GAMMA
Ë	SQRT
#E551	SIGMA
#E54F	PI_PROD
#E6BB	INT_SING
#E6B7	INT_DBLE
#E6B8	INT_CLOSED
#E6B9	DELTA
#E5C0	EXP_0
#E5C1	EXP_1
#E5C2	EXP_2
#E5C3	EXP_3
#E5C4	EXP_4
#E5C5	EXP_5
#E5C6	EXP_6
#E5C7	EXP_7
#E5C8	EXP_8
#E5C9	EXP_9
#E5CA	EXP_LINES
#E5CB	EXP_+
#E5CC	EXP_-
#E5CD	INDEX_0_UNDERLINED
#E5CE	INDEX_1_UNDERLINED
#E5CF	INDEX_2_SMALL
#E5D0	INDEX_0
#E5D1	INDEX_1
#E5D2	INDEX_2
#E5D3	INDEX_3
#E5D4	INDEX_4
#E5D5	INDEX_5
#E5D6	INDEX_6
#E5D7	INDEX_7
#E5D8	INDEX_8
#E5D9	INDEX_9
#E5DA	INDEX_LINES
#E5DB	INDEX_+
#E5DC	INDEX_-
#E5DD	EXP_X
#E5DE	N_SMALL
#E5DF	CUBED
«	x_BAR
¬	y_BAR
­	x_HAT
®	y_HAT
¯	p_HAT
#	ANGLE
Ð	ANGLE_SQ
Ñ	ANGLE_DEG
Ò	ANGLE_RAD
Ó	ANGLE_GRAD
#E6BD	ELEMENT
#E6BE	ELEMENT_LEFT
#E6BF	INCLUDED_OR_EQUAL
#E6C0	INCLUDED_OR_EQUAL_LEFT
#E6C1	INCLUDED
#E6C2	INCLUDED_LEFT
#E6C3	JOIN
#E6C4	INTER
#E6C5	NOT_ELEMENT
#E6C6	NOT_ELEMENT_LEFT
#E6C7	NOT_INCLUDED_OR_EQUAL
#E6C8	NOT_INCLUDED_OR_EQUAL_LEFT
#E6C9	NOT_INCLUDED
#E6CA	NOT_INCLUDED_LEFT
#E6CB	EMPTY
#E6D6	BUG_BODY
#E6CC	EXISTS
#E6CD	RIGHT_ANGLE
#E6CE	CHEVRON_DOWN
#E6CF	CHEVRON_UP
#E6D0	CHEVRON_STRIP
#E6D1	CIRCLE_PLUS
#E6D2	CIRCLE_MINUS
#E6D3	CIRCLE_TIMES
#E6D4	CIRCLE_DIVIDE
#E6D5	ORTHOGONAL
#E6B2	CONGRUENT
#E6B3	NOT_CONGRUENT
#E6B4	ALMOST_CONGRUENT
#E6B5	WAVE
#E6BC	ANGLE_ARC
#E6B6	BUG_HEAD
#E6D7	PARALLEL
#E6D8	NOT_PARALLEL
#E6D9	PARALLEL_TILTED
#E6DA	NABLA
#E6DB	CHEVRON_UP_DOTS
#E6DC	CHEVRON_DOWN_DOTS
#E6DD	PRIME
#E6DE	SECOND
!	!
Â·	STRAIGHT_QUOTES
#	#
$	$
%	/
&	&
'	'
(	(
)	)
,	,
.	.
:	:
;	;
?	?
@40	@
[	[
\	\
]	]
_	_
@60	BACK_QUOTE
{	{
@7C	PIPE
}	}
~	~
×	IFTHEN
Ì	INDEX_10
»	FRACTION
#E594	THREE_DOTS
#E595	OPEN_QUOTES
#E596	CLOSE_QUOTES
#E597	OPEN_QUOTES_DOUBLE
#E598	CLOSE_QUOTES_DOUBLE
#E590	EXCLAMATION_REVERSE
#E591	INTERROGATION_REVERSE
#E592	â‚¬
#E592	CURRENCY_EURO
#E593	CURRENCY_GUILDER
#E599	CURRENCY_CENT
#E59A	Â£
#E59A	CURRENCY_POUND
#E59B	Â¤
#E59B	CURRENCY_UKNOWN
#E59C	CURRENCY_YEN
#E59D	PARAGRPH
#E59E	BOX_C
#E5A1	BOX_R
#E59F	UNDERLINE_A
#E5A2	UNDERLINE_O
#E5A0	TOP_LINE
#E5A5	SQUARE_DOT
#E5A6	CROSS_DOT
#E5A7	DOT
#E5B5	SQUARE_B
#E5B6	SQUARE_R
#E5B8	SQUARE_EQUAL
#E5B9	SQUARE_SMALLER
#E5BA	SQUARE_BIGGER
#E5BB	SQUARE_SMALLER_OR_EQUAL
#E5BC	SQUARE_BIGGER_OR_EQUAL
#E690	LEFT_ARROW
#E691	RIGHT_ARROW
#E692	UP_ARROW
#E693	DOWN_ARROW
#E694	HORIZONTAL_ARROWS
#E695	VERTICAL_ARROWS
#E696	UP_LEFT_ARROW
#E697	UP_RIGHT_ARROW
#E698	BOTTOM_RIGHT_ARROW
#E699	BOTTOM_LEFT_ARROW
#E69A	LEFT_BIG_ARROW
#E69B	RIGHT_BIG_ARROW
#E69C	UP_BIG_ARROW
#E69D	BOTTOM_BIG_ARROW
#E69E	RIGHT_TRIANGLE_BLACK
